latitude,longitude,zipcode,severity,Comments,SubCategory,Item
37.30563279,-121.8760751,95133,1,P/U GLASS -GARB-CLOTHES- CART,GAR - Garbage,Garbage
37.29839409,-121.9640135,94306,2,P/U RECLINER,FUR - Furniture,Furniture
37.35983163,-121.8937426,95112,2,p/u illegal dump from street 8 yards,FUR - Furniture,Furniture
37.31996861,-121.9057746,95126,1,P/U AUTO BUMPER,GAR - Garbage,Garbage
37.31996861,-121.9057746,95126,3,NULL,HAZ - Haz Mat,Haz Mat
37.32478805,-121.7927385,95148,2,P/U MATTRESS,FUR - Furniture,Furniture
37.31069683,-121.9232796,95128,2,P/U 2 SOFAS,FUR - Furniture,Furniture
37.22355411,-121.9054495,95124,1,NULL,YW - Yard Waste,Yard Waste
37.37510975,-121.8356085,95133,3,,HAZ - Haz Mat,Haz Mat
37.33699678,-121.9435357,95128,2,NULL,FUR - Furniture,Furniture
37.27484132,-121.8996086,95125,2,P/U LOVE SEAT,FUR - Furniture,Furniture
37.32321844,-121.8708777,95112,2,P/U COUCH,FUR - Furniture,Furniture
37.32614286,-121.8730461,95112,2,P/U EASY CHAIR,FUR - Furniture,Furniture
37.28760574,-121.8276953,95111,2,P/U COUCH,FUR - Furniture,Furniture
37.3482924,-121.9217898,95150,1,P/U 4 YARDS OF LITTER DEBRIS,GAR - Garbage,Garbage
37.38599241,-121.9277368,95134,1,FOUND NOTHING,OTH - Other,Other
37.33730682,-121.8269023,95122,1,P/U BAGS OF CLOTHES,GAR - Garbage,Garbage
37.34337348,-121.8316343,95122,1,P/U GARB SPEAKERS EMPTY BOXES,OTH - Other,Other
37.36109555,-121.8380466,95116,2,p/u 2 MATTRESS N/W COR,FUR - Furniture,Furniture
37.3761346,-121.8791167,95131,2,p/u office furn & misc items areas clear,FUR - Furniture,Furniture
37.36560382,-121.8434877,95116,2,"p/u sofa, mattress, furn, debris",FUR - Furniture,Furniture
37.36560382,-121.8434877,95116,2,"p/u rugs, furn, matt, debris",FUR - Furniture,Furniture
37.33624544,-121.8314993,95122,2,p/u mattress and misc items,FUR - Furniture,Furniture
37.35872192,-121.8153429,95127,1,NULL,YW - Yard Waste,Yard Waste
37.34534158,-121.8754923,95122,2,"p/u 1 mattress and misc items, area cleared",FUR - Furniture,Furniture
37.30563279,-121.8760751,95123,2,P/U BROWN LEATHER SOFA,FUR - Furniture,Furniture
37.30824905,-121.9720574,95117,2,"3 boxes, 1 matt p.u, dumped at mabury yard",FUR - Furniture,Furniture
37.18223758,-121.7616901,95141,2,p/u refrigerator,APP - Appliances,Appliances
37.34136,-121.8319701,95122,2,p/u mattress,FUR - Furniture,Furniture
37.260264,-121.8101455,95136,1,NULL,GAR - Garbage,Garbage
37.3331016,-121.8753815,95112,2,P/U SOFA,FUR - Furniture,Furniture
37.32993412,-121.8200106,95122,2,p/u sofa recliner sofa chair bags garb debris,FUR - Furniture,Furniture
37.27791855,-121.835128,95136,2,p/u tire & dumped at mabury yard,TIR - Tires,Tires
37.31385899,-121.8836983,95110,2,"p/u 3 mattress & misc items, area clear",FUR - Furniture,Furniture
37.31680097,-121.8556871,95112,2,"p/u 1 couch & misc items, area clear",FUR - Furniture,Furniture
37.22943302,-121.8304935,95123,2,P/U MATTRESS,FUR - Furniture,Furniture
37.33352943,-121.8641471,95116,2,P/U BOXSPRING & HUTCH,FUR - Furniture,Furniture
37.33318008,-121.8011405,95148,1,P/U 3 LARGE BAGS OF GARBAGE,GAR - Garbage,Garbage
37.32018287,-121.959781,95117,2,P/U BOXSPRING IN STREET,FUR - Furniture,Furniture
37.35586526,-121.8599806,95116,1,NULL,GAR - Garbage,Garbage
37.314107,-121.8800444,95110,2,"p/u mattress, boxspring, tv housing",FUR - Furniture,Furniture
37.25931261,-121.8019657,95111,2,p/u mattress,FUR - Furniture,Furniture
37.2615561,-121.8024445,95111,2,p/u headboard,FUR - Furniture,Furniture
37.31454718,-121.9526462,95117,1,NO Y.W. AT LOCATION,YW - Yard Waste,Yard Waste
37.35173733,-121.8046966,95127,2,P/U MATTRESS,FUR - Furniture,Furniture
37.32961857,-121.8248593,95122,2,"P/U RECLINER SOFA , SOFA BED, BOX OF GARB ENT CENT",FUR - Furniture,Furniture
37.33805345,-121.8413046,95122,2,P/U WHITE LEATHER SOFA,FUR - Furniture,Furniture
37.34401279,-121.8782923,95112,1,P/U GARB,GAR - Garbage,Garbage
37.30317176,-121.7804391,95121,1,"searched area, couldn't locate, area clear",LIT - Litter,Litter
37.26419223,-121.8457099,95136,1,p.u piano,OTH - Other,Other
37.34163046,-121.88743,95112,1,"not a safety hazard, only things there are from the memorial",OTH - Other,Other
37.35929194,-121.8125915,95127,1,"p/u pallet & misc items, area clear",GAR - Garbage,Garbage
37.24826881,-121.9373388,95124,1,P/UP 1 LARGE STUMP WITH SKIP LOADER,YW - Yard Waste,Yard Waste
37.33352943,-121.8641471,95127,2,P/U MATTRESS,FUR - Furniture,Furniture
37.25318905,-121.9130937,95124,2,nothing at location upon arrival,FUR - Furniture,Furniture
37.35954263,-121.8873458,95112,2,p/u 2 sofas,FUR - Furniture,Furniture
37.35910023,-121.888272,95112,1,p.u roll carpet & wood,GAR - Garbage,Garbage
37.29768987,-121.9766741,95130,1,P/U MISC DEBRIS,GAR - Garbage,Garbage
37.31396582,-121.791524,95121,1,"CLEANED DEBRIS OFF ROADWAY, SWEPT AND SHOVELED",GAR - Garbage,Garbage
37.27331307,-121.798076,95111,1,P/U MISC DEBRIS FROM ROADWAY,GAR - Garbage,Garbage
